client_id,gendr,clnt_age,logons_6_mnth,clnt_tenure_yr,clnt_tenure_mnth,num_accts,bal,calls_6_mnth
8178612,M,31.5,3,10,131,2,30294.66,0
8178704,U,55.0,3,4,56,2,47800.64,0
8178744,U,34.5,9,6,81,2,203100.36,6
8179401,U,36.5,6,5,69,2,35971.05,3
8179513,F,47.0,3,12,154,2,35531.09,0
8179812,M,75.0,9,16,193,2,501094.73,6
8179872,M,41.0,3,17,212,2,41711.4,0
8180028,F,29.5,7,10,128,2,34040.73,4
8180165,U,46.0,8,8,101,2,131109.9,5
8180196,U,67.0,9,6,77,3,222200.0,6
8180244,F,53.0,5,13,161,3,80404.14,2
8180271,F,64.0,5,13,166,2,111665.01,2
8180297,M,36.0,8,13,157,3,489090.78,5
8180494,U,52.0,6,4,58,2,31705.16,2
8180590,U,57.0,6,7,86,3,114407.48,3
8180806,U,25.5,8,6,80,2,28875.01,5
8180878,F,24.0,5,9,115,2,57571.95,2
8180884,M,49.0,4,6,73,2,70362.04000000001,1
8181298,U,43.5,5,3,44,2,42094.06,2
8181732,M,63.5,4,14,178,2,29072.76,1
8181803,F,61.0,5,21,255,2,146134.16,2
8182003,F,62.5,6,13,165,2,111841.4,3
8182204,M,50.5,3,12,146,2,48664.74,0
8182490,M,48.5,6,15,186,2,88368.06,3
8182707,M,35.0,8,12,151,2,123195.34,5
8182943,U,30.0,3,5,60,2,34764.77,0
8183191,F,57.5,7,5,70,2,29209.96,4
8183731,U,22.0,9,4,58,3,37856.07,6
8183780,F,58.5,9,20,241,3,92986.49,6
8184065,F,43.0,6,12,154,3,52875.58,3
8184148,U,57.0,9,8,99,2,37300.97,6
8184181,U,51.5,9,6,75,2,62403.92,6
8184247,M,58.0,9,16,193,2,145825.45,6
8184463,F,35.5,7,17,215,4,416087.37,4
8185189,F,37.0,3,6,76,2,131940.18,0
8185425,U,38.0,3,8,96,2,37319.6,0
8185916,U,50.0,9,7,86,2,56374.33,6
8185919,M,61.0,7,10,126,2,31281.5,4
8186129,F,44.5,3,13,159,2,125683.41,0
8186151,U,21.5,5,4,54,2,44039.65,2
8186274,F,58.0,4,21,253,3,581674.4700000001,1
8186750,M,41.0,5,9,119,2,90018.72,2
8186786,M,72.0,7,14,178,2,88136.1,0
8187091,M,76.5,6,10,120,2,202234.31,3
8187143,M,39.0,4,9,118,3,130515.58,1
8187299,U,39.5,5,4,57,2,36643.43,2
8187407,U,50.0,3,4,58,2,47382.89,0
8187622,F,66.0,8,9,108,2,141339.76,5
8187863,U,67.5,6,17,214,2,142329.27000000002,3
8187908,F,67.5,7,14,173,2,39613.23,4
8187972,U,64.0,7,7,95,2,51105.88,4
8188503,M,66.0,9,28,336,3,1298861.75,6
8188592,F,56.5,3,30,365,3,30337.7,0
8188609,M,68.5,6,38,456,2,24677.17,3
8188670,M,69.0,9,28,342,3,755574.17,6
8188833,F,45.5,6,24,288,2,112865.37,3
8188992,F,44.0,8,22,270,2,120315.36,5
8189269,U,21.0,8,5,62,2,76373.45,5
8189521,M,28.0,6,8,98,2,78986.36,3
8189543,M,43.0,5,10,130,2,30224.78,2
8189577,F,37.5,3,18,222,2,34619.58,0
